gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
Klf13	63.50840872338172	1.615124188189445	0.14392765188965698	11.221778212762686	3.1879485336680334e-29	2.8003444941289894e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dhrs3	25.78940552179466	2.387713324129451	0.21297241139715456	11.211373851032764	3.585838463769224e-29	3.118976357898094e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ubl3	98.66392711262266	0.9105818504991139	0.08170413084723142	11.144869189070743	7.585567628122303e-29	6.533898640456415e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Jmy	52.2922447155963	1.7962822052594325	0.16145634163218497	11.125497995932287	9.42779164067167e-29	8.042631484234525e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Hspa1b	996.4197880607168	-3.65711288566928	0.3303101676774238	-11.071753895389511	1.7200085625886368e-28	1.453325330217751e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Chkb	57.32409510105377	1.0794012792850873	0.09760124876221493	11.05929783659657	1.97638633879546e-28	1.6541980752635207e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Adora2a	40.602301734180735	1.6497857120194268	0.14920176939947982	11.057413854136094	2.018332211980083e-28	1.6735180733352613e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Mknk2	141.4398341733007	1.0420650312660085	0.0943210544516094	11.0480638424227	2.2399362401396277e-28	1.840066140973961e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
H3c1	85.82570691945605	-2.004216405158075	0.18208551309851145	-11.007006384268246	3.5355691310863286e-28	2.8777586542199913e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Nabp1	108.66899843953681	1.158951111470603	0.10535934451893898	10.999984071296822	3.8219942089956936e-28	3.082612056564527e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Spata13	98.32416218499326	0.961697657375406	0.0879207792635179	10.938229454188374	7.566308395939459e-28	6.04759352151125e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Hes1	8.618251015557254	6.053685945910134	0.5573109657169651	10.862312637473828	1.742788094986978e-27	1.3805371409575418e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Malt1	126.43800027417576	1.2082745079680013	0.11143862252288116	10.842511156488067	2.1644686028803674e-27	1.6993951721021789e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Hnrnpll	35.71448991811124	-2.324908337552908	0.21450023957398576	-10.838721402691007	2.2560196107791375e-27	1.7557373672660094e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Mki67	48.696911955390156	-7.258097362471444	0.6705708930577952	-10.823758438685891	2.6565501292421106e-27	2.0494706736205223e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Galnt2	41.37932532951231	1.3924088408814834	0.1287140375118373	10.817847592990232	2.8335369221511754e-27	2.1671672045970025e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Adamts14	36.62004084465225	4.044296965956703	0.3753548865695028	10.774595218191834	4.537736098692874e-27	3.440922621162665e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Midn	62.69697727543188	1.2317543804860842	0.11457084801651916	10.751027873237756	5.860486114837143e-27	4.406290916172469e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Lpin1	27.8345940399679	1.7517736465397606	0.16303465371673714	10.744793248577455	6.270224671724482e-27	4.674742293070556e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Rab43	31.400041755180816	1.2538563072085613	0.11676725532043092	10.738081526090067	6.743102887181646e-27	4.985400734589631e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Foxp3	18.43784022290597	-4.6081871394660645	0.42945162003551207	-10.730398779459735	7.32792536692402e-27	5.3730044508553645e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Uhrf1	12.073031469634781	-5.325034679663409	0.49678953024775496	-10.718894733968627	8.298908921186627e-27	6.035075405636701e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Nudt4	29.546471802182317	2.113914098575492	0.19734206439264138	10.711928574789537	8.947807771155335e-27	6.454061019974806e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
