"gene","lineage","rho","p_val","p_adj","abs_rho","detected_frac","n_cells"
"Dst","slingPseudotime_7",-0.0399515196840498,0.0329150652997509,0.0603281988631798,0.0399515196840498,0.0305156085584006,2851
"Rasgef1b","slingPseudotime_7",-0.0397592926142139,0.0337667481196777,0.0617985873346956,0.0397592926142139,0.0298141003156787,2851
"Lap3","slingPseudotime_7",-0.0396339005459648,0.0343324038937521,0.0627419661801025,0.0396339005459648,0.0431427569273939,2851
"Lag3","slingPseudotime_7",0.0395789282798487,0.0345829293101236,0.0631075352374518,0.0395789282798487,0.0719045948789898,2851
"Ino80c","slingPseudotime_7",0.0395448955457157,0.0347388077952472,0.0632995768863834,0.0395448955457157,0.0434935110487548,2851
"Timp2","slingPseudotime_7",-0.0393846377633753,0.0354809144695195,0.0645297401722043,0.0393846377633753,0.023851280252543,2851
"Il7r","slingPseudotime_7",-0.0393768821109858,0.0355171689907812,0.0645297401722043,0.0393768821109858,0.258856541564363,2851
"Atp13a2","slingPseudotime_7",-0.0392598341934574,0.0360681678290469,0.0654357181223637,0.0392598341934574,0.0322693791652052,2851
"Ccr8","slingPseudotime_7",0.0390255081112346,0.0371931606919867,0.0673789142970773,0.0390255081112346,0.0217467555243774,2851
"Eif4e","slingPseudotime_7",0.0389696374167405,0.0374657597154225,0.0677239900019643,0.0389696374167405,0.148368993335672,2851
"Hmgcs1","slingPseudotime_7",0.0389642774106095,0.0374920008650875,0.0677239900019643,0.0389642774106095,0.0705015783935461,2851
"Ddx39a","slingPseudotime_7",0.0389462242162459,0.0375804994811234,0.06778589372497,0.0389462242162459,0.0810242020343739,2851
"Mcm6","slingPseudotime_7",0.0388876146673885,0.0378690351323499,0.0682079163046648,0.0388876146673885,0.0319186250438443,2851
"Mms22l","slingPseudotime_7",0.0387589134358734,0.0385092473534221,0.0692612362471621,0.0387589134358734,0.0413889863205893,2851
"Snrpa","slingPseudotime_7",0.0386648054892004,0.0389831774588804,0.0700128905511502,0.0386648054892004,0.0620834794808839,2851
"Etv3","slingPseudotime_7",-0.0385752229170176,0.0394389087922769,0.0707297503448294,0.0385752229170176,0.103121711680112,2851
"Lsm3","slingPseudotime_7",0.0385201177121615,0.0397214836777273,0.0711344621735805,0.0385201177121615,0.120308663626798,2851
"Syde2","slingPseudotime_7",0.0384767367310704,0.0399451440860442,0.0714326610980761,0.0384767367310704,0.0224482637670993,2851
"Cisd3","slingPseudotime_7",0.0383336218295513,0.0406905924088052,0.0726617721585807,0.0383336218295513,0.0620834794808839,2851
"Hsd17b7","slingPseudotime_7",0.038302508840926,0.0408542021823552,0.0728498612381513,0.038302508840926,0.0217467555243774,2851
"Pnp","slingPseudotime_7",0.0382579130036352,0.0410896839084099,0.073165391574804,0.0382579130036352,0.108383023500526,2851
"Ndufa4","slingPseudotime_7",0.0381339529567757,0.0417502818307231,0.0742359207516414,0.0381339529567757,0.141704665029814,2851
"Irgm1","slingPseudotime_7",-0.0380508574926414,0.0421981200775034,0.0749256393421581,0.0380508574926414,0.215713784636969,2851
"Cyth3","slingPseudotime_7",0.0379484050841086,0.0427558669647861,0.0758082747602591,0.0379484050841086,0.0975096457383374,2851
"Fcgr3","slingPseudotime_7",-0.0377951805313924,0.0436016331446384,0.0770388540422349,0.0377951805313924,0.023851280252543,2851
"Shmt2","slingPseudotime_7",0.0377902264496482,0.0436292126366969,0.0770388540422349,0.0377902264496482,0.101367941073308,2851
"Rrad","slingPseudotime_7",0.0377892218738958,0.0436348069295218,0.0770388540422349,0.0377892218738958,0.0873377762188706,2851
"H3c1","slingPseudotime_7",-0.0377465551254318,0.0438729696400382,0.0773500875176979,0.0377465551254318,0.151876534549281,2851
"Ccdc43","slingPseudotime_7",0.0377021995494292,0.044121721339179,0.0776720335202738,0.0377021995494292,0.0589266923886356,2851
"Tfdp1","slingPseudotime_7",0.0376918644215568,0.0441798526663318,0.0776720335202738,0.0376918644215568,0.0733076113644335,2851
"Otud1","slingPseudotime_7",-0.0376545548133688,0.0443902435228934,0.0779323095556415,0.0376545548133688,0.103823219922834,2851
"Tsr1","slingPseudotime_7",0.0373656864704856,0.046047958689747,0.0807292403396686,0.0373656864704856,0.178884601894072,2851
"Fbxo32","slingPseudotime_7",0.0371837580822358,0.0471184940731018,0.082490360772237,0.0371837580822358,0.0494563311118906,2851
"Arrdc3","slingPseudotime_7",0.0371402268438574,0.0473777278713199,0.0828281955792306,0.0371402268438574,0.07576289021396,2851
"Gabarapl1","slingPseudotime_7",0.0371073339520759,0.0475744031797938,0.0830558714731038,0.0371073339520759,0.0599789547527183,2851
"Gmnn","slingPseudotime_7",0.0370081830194462,0.048171408033579,0.0839808368786246,0.0370081830194462,0.0431427569273939,2851
"Cxcr5","slingPseudotime_7",-0.036935034542366,0.0486158692103193,0.0846376553104444,0.036935034542366,0.0245527884952648,2851
"Chst2","slingPseudotime_7",-0.0368785093597579,0.0489616776028234,0.0851211363053259,0.0368785093597579,0.0371799368642582,2851
"Ahcyl1","slingPseudotime_7",0.0368022939312613,0.0494312114443632,0.0858180754242417,0.0368022939312613,0.0683970536653806,2851
"Psmb9","slingPseudotime_7",0.0365998798828994,0.0506965661054174,0.0878927983797112,0.0365998798828994,0.225885654156436,2851
"Pmaip1","slingPseudotime_7",0.0364815850846734,0.0514485417934018,0.0890729601686319,0.0364815850846734,0.23114696597685,2851
"Cyp51","slingPseudotime_7",0.0364264406806963,0.0518022593361689,0.0895613059062395,0.0364264406806963,0.137846369694844,2851
"Stip1","slingPseudotime_7",0.0363095713379433,0.052558629567692,0.0907137042772696,0.0363095713379433,0.145913714486145,2851
"Sfmbt1","slingPseudotime_7",0.0363010791048071,0.0526139484808164,0.0907137042772696,0.0363010791048071,0.0571729217818309,2851
"Ahcyl2","slingPseudotime_7",-0.0360534741847087,0.0542483736074307,0.093402847120232,0.0360534741847087,0.0512101017186952,2851
"Tnfrsf12a","slingPseudotime_7",0.0360422480108777,0.0543234692914025,0.0934034891530304,0.0360422480108777,0.0364784286215363,2851
"Topbp1","slingPseudotime_7",0.036021520130607,0.0544623529109656,0.0935136554103118,0.036021520130607,0.0785689231848474,2851
"Ifit3","slingPseudotime_7",0.0360002056734548,0.0546054753981501,0.0936307877197361,0.0360002056734548,0.0964573833742546,2851
"Camk1d","slingPseudotime_7",0.0359192236053736,0.0551521161734879,0.0944385550915889,0.0359192236053736,0.114345843563662,2851
"Atpif1","slingPseudotime_7",-0.0358573940654749,0.0555725373444872,0.0950282786328441,0.0358573940654749,0.0925990880392845,2851
"Tesc","slingPseudotime_7",-0.0356971744946761,0.0566744124433938,0.0967800758937736,0.0356971744946761,0.0445457734128376,2851
"P4ha1","slingPseudotime_7",-0.035646861403845,0.0570241564887652,0.097244468773474,0.035646861403845,0.0698000701508243,2851
"Acsbg1","slingPseudotime_7",0.0354731994477973,0.0582451562457301,0.0991913423803306,0.0354731994477973,0.0764643984566819,2851
"Vmp1","slingPseudotime_7",-0.0353432881948865,0.0591726771653905,0.100633804703045,0.0353432881948865,0.292879691336373,2851
"Taf4b","slingPseudotime_7",0.0352680397693298,0.0597155060184582,0.101418997993305,0.0352680397693298,0.163451420554192,2851
"Cmpk2","slingPseudotime_7",0.0352153344859372,0.0600981659754011,0.101930403621779,0.0352153344859372,0.0294633461943178,2851
"Abhd12","slingPseudotime_7",-0.0350922756206303,0.0609995352060242,0.103318995945163,0.0350922756206303,0.0950543668888109,2851
"Atp6ap2","slingPseudotime_7",0.0350314088670833,0.0614494863629414,0.103940267866951,0.0350314088670833,0.160996141704665,2851
"Oas2","slingPseudotime_7",-0.0348613447531511,0.0627212448672705,0.105948048762281,0.0348613447531511,0.028411083830235,2851
"Serpinb6a","slingPseudotime_7",0.0347865719704841,0.0632872485636461,0.106759865998054,0.0347865719704841,0.0498070852332515,2851
"Hells","slingPseudotime_7",0.0347527278180927,0.0635448202994186,0.107049899426244,0.0347527278180927,0.047351806383725,2851
"Rbbp4","slingPseudotime_7",0.0347047788130768,0.0639112186921644,0.107522238714947,0.0347047788130768,0.116450368291827,2851
"Creb3l2","slingPseudotime_7",0.0344710893543098,0.0657219805463853,0.110419994197556,0.0344710893543098,0.0259558049807085,2851
"Gart","slingPseudotime_7",0.03419087883703,0.0679487244701022,0.114007926963259,0.03419087883703,0.109435285864609,2851
"Lamp1","slingPseudotime_7",-0.0340182547203932,0.0693511242619767,0.116204966926905,0.0340182547203932,0.0357769203788144,2851
"Trbv14","slingPseudotime_7",0.0339771683492551,0.0696883873778676,0.11661376736591,0.0339771683492551,0.0291125920729569,2851
"Cbx3","slingPseudotime_7",0.0339346237756649,0.0700390374696346,0.117043846038828,0.0339346237756649,0.191511750263066,2851
"Cd200r1","slingPseudotime_7",0.0339004344838335,0.0703218714374666,0.117359598527147,0.0339004344838335,0.032970887407927,2851
"Fdft1","slingPseudotime_7",0.033683375003483,0.0721394371726788,0.120232395287798,0.033683375003483,0.0305156085584006,2851
"Enc1","slingPseudotime_7",-0.0336504828626356,0.0724181879726611,0.120536264934522,0.0336504828626356,0.0357769203788144,2851
