"cluster","pathway","NES","pval","padj"
"CD4+ Helper T cells","GSE15324_ELF4_KO_VS_WT_ACTIVATED_CD8_TCELL_UP",1.7280703875296,0.000743934349964958,0.0150426562029649
"CD4+ Helper T cells","GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP",1.72675232599423,0.00172198423087949,0.0255410475442426
"CD4+ Helper T cells","GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP",1.72411357099526,0.00376375381831697,0.044713756393147
"CD4+ Helper T cells","GSE29618_PRE_VS_DAY7_FLU_VACCINE_MDC_UP",1.72048790825102,0.00189859389793977,0.0275427053231575
"CD4+ Helper T cells","GSE12366_NAIVE_VS_MEMORY_BCELL_DN",1.71821210215007,0.00120889257706345,0.0203011994127876
"CD4+ Helper T cells","GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_8H_UP",1.71676883125396,0.00109708879184086,0.0192546524553672
"CD4+ Helper T cells","GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN",1.71650585732518,0.00022326128224006,0.00695620372463683
"CD4+ Helper T cells","GSE3982_DC_VS_TH2_DN",1.71629687765647,0.000536852363519364,0.012545125513561
"CD4+ Helper T cells","GSE7852_TREG_VS_TCONV_FAT_UP",1.71572075876144,0.000411283699180996,0.0104936042663198
"CD4+ Helper T cells","GSE36078_UNTREATED_VS_AD5_INF_MOUSE_LUNG_DC_UP",1.71139965275018,0.0101621534658823,0.0805492932319694
"CD4+ Helper T cells","GSE11924_TH1_VS_TH17_CD4_TCELL_DN",1.71061090456405,0.000906962838352621,0.0170840072288931
"CD4+ Helper T cells","GSE6269_FLU_VS_E_COLI_INF_PBMC_DN",1.71043427598959,0.00608084536649876,0.0573800151345426
"CD4+ Helper T cells","GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_DN",1.70993782661017,0.00472725633686772,0.0497452283032061
"CD4+ Helper T cells","GSE7764_NKCELL_VS_SPLENOCYTE_DN",1.7076402573756,0.00104150037905721,0.0187439429675299
"CD4+ Helper T cells","GSE22886_NAIVE_TCELL_VS_NKCELL_UP",1.70325898224639,0.000562515104307601,0.0130580321909928
"CD4+ Helper T cells","GSE7852_LN_VS_FAT_TREG_DN",1.70247249566788,0.000566709108006347,0.0130580321909928
"CD4+ Helper T cells","GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_DN",1.70112734806707,0.00110381939792578,0.0192546524553672
"CD4+ Helper T cells","GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP",1.70026952903039,0.000772968805016536,0.0153171498402077
"CD4+ Helper T cells","GSE27786_CD4_TCELL_VS_NKTCELL_UP",1.69937205341009,0.000405840238456542,0.0104172670534389
"CD4+ Helper T cells","GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP",1.69897119190508,0.0100877248597517,0.0803763073317263
"CD4+ Helper T cells","GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_DN",1.69885057012109,0.000492858927824851,0.0116267768021158
"CD4+ Helper T cells","GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN",1.69873322161536,0.014229783691859,0.0989484876980074
"CD4+ Helper T cells","GSE37319_WT_VS_RC3H1_KO_CD44LOW_CD8_TCELL_DN",1.69799231732352,0.00312096930170298,0.039341684276429
"CD4+ Helper T cells","GSE13173_UNTREATED_VS_IL12_TREATED_ACT_CD8_TCELL_DN",1.69673514541944,0.00263433646206251,0.0348943926017585
"CD4+ Helper T cells","GSE24574_BCL6_LOW_TFH_VS_NAIVE_CD4_TCELL_DN",1.69166469614747,0.0016916762551711,0.0254728394167709
"CD4+ Helper T cells","GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_DC_UP",1.68970193331855,0.00142069065278253,0.0227872851012848
"CD4+ Helper T cells","GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_DN",1.68833713840448,0.00171578777261225,0.0255255634400032
"CD4+ Helper T cells","GSE22886_NAIVE_CD4_TCELL_VS_DC_UP",1.68801444864547,0.000453462803778442,0.0109051200481476
"CD4+ Helper T cells","GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_180MIN_UP",1.68635227964896,0.00417090309464875,0.0469605771156589
"CD4+ Helper T cells","GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP",1.68484551202813,0.00115130041334322,0.0196306406962551
"CD4+ Helper T cells","GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP",1.68481836100317,0.00419772562258862,0.0471083849231216
"CD4+ Helper T cells","GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_UP",1.6811463124941,0.000442831865559159,0.0108089037407173
"CD4+ Helper T cells","GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_24H_IFNG_STIM_UP",1.68100708702057,0.00119367904744074,0.0201138979626579
"CD4+ Helper T cells","GSE6674_PL2_3_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN",1.67683177710133,0.000374601383355219,0.0101408483778238
"CD4+ Helper T cells","GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN",1.67580258224656,0.00464418953222627,0.0494975683216679
"CD4+ Helper T cells","GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_DN",1.6752685148159,0.00122193148005181,0.0203819816571605
"CD4+ Helper T cells","GSE40443_INDUCED_VS_TOTAL_TREG_UP",1.67261698161365,0.00138801345559215,0.022693790953807
"CD4+ Helper T cells","GSE13229_MATURE_VS_INTMATURE_NKCELL_UP",1.67098953841497,0.0103850319523171,0.0812099791026876
"CD4+ Helper T cells","GSE2706_UNSTIM_VS_8H_R848_DC_DN",1.67012562582575,0.00106490237056678,0.0188411655135279
"CD4+ Helper T cells","GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN",1.66984354708375,0.00145548859068932,0.022897135545367
"CD4+ Helper T cells","GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_DN",1.66973470934093,0.000708874115504165,0.0146323432008651
"CD4+ Helper T cells","GSE40274_CTRL_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",1.66837469953526,0.00187079752607992,0.0273390293339231
