"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nol6",0.0244735786339937,0.0848252174490094,0.033,0.035,1
"Nol7",0.00115505339341501,-0.219247126932764,0.044,0.054,1
"Nol8",0.443567036809496,-0.49686169606594,0.013,0.015,1
"Nol9",0.60299462587236,-0.645466750263815,0.003,0.006,1
"Nolc1",0.840841499145098,0.574859955540428,0.008,0.007,1
"Nom1",0.00315896935103387,-0.238369332061151,0.034,0.041,1
"Nomo1",0.000884332824809813,0.482490391561145,0.002,0.001,1
"Nono",0.000496860187169643,-0.199198687840684,0.278,0.291,1
"Nop10",0.0157905986151218,-0.432456833896681,0.125,0.14,1
"Nop14",1.15132746141387e-07,0.403032370627507,0.098,0.081,0.00219385447772413
"Nop16",0.47542159950135,-0.512037509822485,0.003,0.005,1
"Nop2",6.06513222596236e-07,0.222623097969165,0.118,0.102,0.0115571094565713
"Nop53",2.64365697698679e-14,-0.332928301721812,0.125,0.16,5.03748836964832e-10
"Nop56",7.85074084158415e-05,-0.324717638632907,0.11,0.131,1
"Nop58",0.421016505248021,0.145526606813802,0.015,0.018,1
"Nop9",0.0633452156935787,-0.190465114742779,0.007,0.009,1
"Nopchap1",0.00556536956485119,0.291055442504486,0.07,0.057,1
"Nos1",0.598876710237896,4.72053779725847,0,0,1
"Nos1ap",3.4385214637431e-09,1.69008770377452,0.009,0.003,6.55210264916248e-05
"Nos2",1.15667475315398e-30,-1.68569770889219,0.007,0.019,2.20404374213492e-26
"Nosip",0.00182116414543143,-0.215073796967448,0.112,0.121,1
"Nostrin",0.00299421666889903,-0.852933849303483,0.008,0.009,1
"Notch1",3.24691939790877e-18,0.600111189194542,0.191,0.156,6.18700491271517e-14
"Notch2",0.108888044881063,0.0634984302464967,0.175,0.186,1
"Notch3",0.00775562199078239,0.280653153547,0,0,1
"Noto",0.453971853494999,0.427540185175248,0,0,1
"Notum",0.0309212609020948,0.280653153547,0,0,1
"Nova1",7.11244399982645e-06,0.864500548930764,0.018,0.009,0.135527620416693
"Nova2",0.440605355865351,-1.78706510041637,0,0,1
"Nox1",0.680833009896151,-1.00696935528661,0,0,1
"Nox3",0.890477416459935,-1.15716558244578,0,0,1
"Nox4",0.0897736129673796,2.64283683905701,0,0,1
"Noxa1",0.453971853494999,0.968823965963429,0,0,1
"Noxo1",0.260449039975731,-0.257015574544829,0.009,0.011,1
"Noxred1",0.0554068805907779,-1.61099115279865,0,0.001,1
"Npas1",0.60789333443405,1.01077378741627,0,0,1
"Npas2",0.522101293062733,-0.17896725983918,0.003,0.003,1
"Npas3",0.45475715525878,2.50977558417445,0,0,1
"Npas4",0.184489691822896,0.135766127983658,0.001,0.001,1
"Npat",0.949631756430643,-0.309471500642994,0.012,0.016,1
"Npb",0.0262440908409823,-5.31146191298247,0,0,1
"Npbwr1",0.418013532447167,-0.688776573671271,0,0,1
"Npc1",0.855923722341219,0.0233992367739462,0.128,0.13,1
"Npc1l1",0.270417515098476,3.58071206847377,0,0,1
"Npc2",5.47360596189315e-258,-0.798682846674544,0.466,0.618,1.04299561603874e-253
"Npdc1",0.98951493979071,-1.46379617178833,0.001,0.001,1
"Npepl1",0.0456789638138076,0.0731755177524669,0.197,0.189,1
"Npepps",0.0160253114934117,-0.043019440207781,0.122,0.105,1
"Npff",0.183950096677809,0.226222393059699,0.013,0.012,1
"Npffr1",0.258396349834954,-0.933429725611072,0,0,1
"Npffr2",0.116060900718943,-3.63624117714262,0,0,1
"Nphp1",0.0111169093664243,-1.37896879690981,0.001,0.003,1
"Nphp3",0.565254395488824,-0.35006882429689,0.002,0.002,1
"Nphp4",0.00734608461486666,-0.777308617045501,0.001,0.001,1
"Nphs2",0.166830741353955,-0.939764100282908,0,0,1
"Npl",1.90059983522161e-17,0.594054214968328,0.071,0.047,3.62159298601478e-13
"Nploc4",0.245365393812219,0.208975785991555,0.115,0.104,1
"Npm1",5.46045254116741e-07,-0.523101417034053,0.026,0.036,0.0104048923171945
"Npm2",0.282431855101208,0.965757500930539,0.002,0.001,1
"Npm3",1.89838911740474e-05,-0.41581810563427,0.016,0.02,0.361738046321473
"Npnt",0.00044812748867453,0.0862031869667816,0.04,0.046,1
"Nppa",0.358812776662841,0.779417633278198,0,0,1
"Nppb",0.890447794298791,0.280653153547,0,0,1
"Nppc",0.0576052248531647,-2.41751159792357,0,0.001,1
"Npr1",0.00216887113738312,0.335890259092849,0.001,0,1
"Npr2",0.0975873898744574,-0.0893181103161238,0.001,0.001,1
"Npr3",0.033816711996237,0.719625830174975,0,0,1
"Nprl2",0.859155034577271,-0.0030859403407999,0.015,0.014,1
"Nprl3",0.62536944628361,0.0866185662124581,0.039,0.044,1
"Nps",0.453971853494999,1.6766586662989,0,0,1
"Npsr1",0.481640041338045,-0.309295230708266,0.001,0.001,1
"Nptn",0.441213827178384,-0.0442422588970967,0.19,0.196,1
"Nptx1",0.00216685055738191,-0.482853889130639,0.001,0.002,1
"Nptx2",0.216931771978746,-4.884895482073,0,0,1
"Nptxr",0.0107608096989081,-0.0803267523873945,0.002,0.002,1
"Npvf",0.160872580775206,-1.41556495901401,0,0,1
"Npw",0.74333897128262,-1.27739925676616,0,0,1
"Npy",0.443104864826771,-0.639783015803083,0.008,0.008,1
"Npy1r",0.801396893880886,-0.25471299895427,0,0,1
"Npy2r",0.696803151022294,-0.589967985600808,0,0,1
"Npy4r",0.811245808894467,2.68376737079154,0,0,1
"Npy5r",0.252061949890359,0.298910291851193,0,0,1
"Npy6r",0.199451841871357,-2.92829893803336,0,0,1
"Nqo1",0.800863998202444,0.280653153547,0,0,1
"Nqo2",0.0165931698038976,-0.464993266745235,0.026,0.028,1
"Nr0b1",0.116060900803536,-3.42495973693734,0,0,1
"Nr0b2",0.775185272854934,-0.826098508688329,0,0.001,1
"Nr1d1",0.00689260986610054,1.75305949920408,0.021,0.008,1
"Nr1d2",0.00107534184010044,0.517607740057935,0.111,0.102,1
"Nr1h2",0.164289449912577,-0.088338312653168,0.014,0.013,1
"Nr1h3",0.000176958693733556,-0.908490329695771,0.006,0.009,1
"Nr1h4",0.0562611269131807,4.23058862737978,0,0,1
"Nr1h5",0.816978272272922,0.388981100801184,0,0,1
"Nr1i2",0.28950249759835,4.7240097873226,0,0,1
"Nr1i3",0.504671703876655,0.0951169366636684,0,0,1
"Nr2c1",0.179856293443779,-0.0758256842816638,0.027,0.028,1
"Nr2c2",0.266863159125159,0.435136358871107,0.032,0.021,1
"Nr2c2ap",0.013169321569692,-0.188271837307449,0.037,0.041,1
"Nr2e1",0.265396995431605,1.86847246922508,0,0,1
"Nr2e3",0.270417515098476,2.76494295580021,0,0,1
"Nr2f1",0.163866766254843,-2.04469936633636,0,0.001,1
"Nr2f2",0.914728500185547,-3.40601371497236,0,0,1
"Nr2f6",0.879261837948277,0.826955622254873,0.011,0.006,1
"Nr3c1",3.02798959449218e-25,0.381281260552328,0.243,0.206,5.76983417230485e-21
"Nr3c2",0.891703167311872,0.950917695320962,0.003,0.003,1
"Nr4a1",7.46699792086259e-09,0.122231405217863,0.371,0.339,0.000142283645382037
"Nr4a2",0.00311569172849726,-0.141952323219787,0.068,0.072,1
"Nr4a3",0.270804352217475,0.133715442145989,0.14,0.127,1
"Nr5a1",0.845449276176645,1.90280674176047,0,0,1
"Nr5a2",0.418013532447167,-1.28765982425063,0,0,1
"Nr6a1",0.239557589848878,0.849264910139249,0.006,0.005,1
"Nradd",0.598259164138575,0.0518688515649006,0.013,0.014,1
"Nrap",7.69937717313544e-05,0.740756581176495,0.014,0.009,1
"Nrarp",0.00370069227376999,0.355576939084295,0.009,0.007,1
"Nras",0.39655428209271,-0.1009019869718,0.098,0.098,1
